School,Place,Price,Price.with.aid,Pct.need,merit.aided,Earn,SAT,ACT,SAT.ACT,Public
University at Buffalo,"Buffalo, NY",25900,15900,52,1,48000,1160,26,1160 / 26,1
Kenyon College,"Gambier, OH",64700,29100,39,12,45300,1320,30,1320 / 30,0
Bucknell University,"Lewisburg, PA",65600,36100,40,9,57900,1300,30,1300 / 30,0
Arizona State University,"Tempe, AZ",25600,13300,54,20,48900,1150,25,1150 / 25,1
University of Southern California,"Los Angeles, CA",67300,34000,37,18,54600,1380,31,1380 / 31,0
Grinnell College,"Grinnell, IA",61700,27100,70,19,41300,1380,30,1380 / 30,0
Villanova University,"Villanova, PA",63100,35600,45,6,57400,1310,30,1310 / 30,0
Northwest University,"Kirkland, WA",39200,22100,79,12,47000,1060,24,1060 / 24,0
Colorado College,"Colorado Springs, CO",62900,26300,35,8,42700,1330,30,1330 / 30,0
Loyola University Maryland,"Baltimore, MD",62300,36300,52,15,51900,1180,27,1180 / 27,0
Cedar Crest College,"Allentown, PA",48700,19600,92,6,44700,950,21,950 / 21,0
College of Our Lady of the Elms,"Chicopee, MA",47900,23800,85,8,49700,930,19,930 / 19,0
Mount Saint Mary's University,"Los Angeles, CA",54700,29800,86,6,45900,940,19,940 / 19,0
Trinity University,"San Antonio, TX",52600,30400,44,50,43300,1260,29,1260 / 29,0
Fresno Pacific University,"Fresno, CA",39600,17800,70,9,42100,990,20,990 / 20,0
Franklin and Marshall College,"Lancaster, PA",65800,25000,50,1,45200,1450,32,1450 / 32,0
SUNY at Albany,"Albany, NY",24000,15700,54,5,46300,1100,24,1100 / 24,1
University of Wyoming,"Laramie, WY",19400,12900,33,22,49000,1110,25,1110 / 25,1
Carnegie Mellon University,"Pittsburgh, PA",66400,36700,44,4,67100,1440,32,1440 / 32,0
Bloomsburg University of Pennsylvania,"Bloomsburg, PA",23500,17200,41,2,43700,990,21,990 / 21,1
La Salle University,"Philadelphia, PA",56600,27300,80,15,47000,990,22,990 / 22,0
The University of Montana Western,"Dillon, MT",16700,10400,,1,33000,1220,25,1220 / 25,1
University of Portland,"Portland, OR",58500,34200,50,35,52200,1200,25,1200 / 25,0
Case Western Reserve University,"Cleveland, OH",62000,31800,48,33,58200,1380,31,1380 / 31,0
Hobart & William Smith Colleges,"Geneva, NY",64500,39100,65,27,50300,1310,28,1310 / 28,0
Mills College,"Oakland, CA",61700,29900,81,9,47500,1150,26,1150 / 26,0
SUNY College of Environmental Science and Forestry,"Syracuse, NY",25800,19900,65,15,45300,1160,25,1160 / 25,1
California Maritime Academy,"Vallejo, CA",22900,12200,39,,57100,1080,24,1080 / 24,1
Albertus Magnus College,"New Haven, CT",50600,24200,77,1,48000,830,15,830 / 15,0
New Jersey Institute of Technology,"Newark, NJ",35000,16200,60,10,55700,1140,26,1140 / 26,1
Hope College,"Holland, MI",42900,28100,51,27,41600,1200,27,1200 / 27,0
Bradley University,"Peoria, IL",45400,29900,61,19,50300,1140,26,1140 / 26,0
University of Wisconsin-Platteville,"Platteville, WI",19000,14200,31,9,55100,1190,23,1190 / 23,1
Kalamazoo College,"Kalamazoo, MI",54800,28400,66,29,39400,1230,28,1230 / 28,0
University of Maine,"Orono, ME",24000,18000,61,8,48800,1090,24,1090 / 24,1
Fairfield University,"Fairfield, CT",62300,40600,43,35,54000,1280,27,1280 / 27,0
Santa Clara University,"Santa Clara, CA",64100,39900,33,27,60600,1290,29,1290 / 29,0
CUNY Bernard M Baruch College,"New York, NY",29700,8900,46,9,50700,1230,25,1230 / 25,1
George Mason University,"Fairfax, VA",27100,18900,42,5,51500,1150,26,1150 / 26,1
Utah State University,"Logan, UT",18800,13300,57,4,47800,1110,24,1110 / 24,1
University of Arizona,"Tucson, AZ",26200,17100,49,20,50500,1110,24,1110 / 24,1
